"Unique ID ","Parent","Name","Tier 1 Parent","Tier (1-4)","Important to NBCU","AG NOTES","Additional signals (e.g., objects, scene settings)","Object signals","Scene signals","Example Advertiser Industry","Logo signals","Explicit Triggers","Date Selected",""
"259","239","Birdwatching","Hobbies & Interests","2","N","","","","","","","","",""
"260","239","Cigars","Hobbies & Interests","2","N","","","","","","","","",""
"261","239","Collecting","Hobbies & Interests","2","N","","","","","","","","",""
"262","261","Comic Books","Hobbies & Interests","3","N","","","","","","","","",""
"263","261","Stamps and Coins","Hobbies & Interests","3","N","","","","","","","","",""
"264","239","Content Production","Hobbies & Interests","2","N","","","","","","","","",""
"265","264","Audio Production","Hobbies & Interests","3","N","","","","","","","","",""
"266","264","Freelance Writing","Hobbies & Interests","3","N","","","","","","","","",""
"267","264","Screenwriting","Hobbies & Interests","3","N","","","","","","","","",""
"268","264","Video Production","Hobbies & Interests","3","N","","","","","","","","",""
"443","441","Retail Property","Real Estate","2","Y","","Shops, shopping mall, boutiques","","retail_outdoor","","","","3/9/2021",""
"446","441","Hotel Properties","Real Estate","2","Y","","hotel lobby, elevator, room key, room service","","hotel_outdoor; hotel_indoor","Travel","logos for all relevant brands","","3/9/2021",""
"447","441","Houses","Real Estate","2","Y","","colonial, porches, driveways, roof","","house_outdoor; house_indoor","","","","3/9/2021",""
"272","269","Roleplaying Games","Hobbies & Interests","3","N","","","","","","","","",""
"273","239","Genealogy and Ancestry","Hobbies & Interests","2","N","","","","","","","","",""
"449","441","Land and Farms","Real Estate","2","Y","","barns, pastures, fields, hills, trees","cow; sheep","farm_crop","","","","3/9/2021",""
"450","441","Office Property","Real Estate","2","Y","","","","office_indoor","Office Supplies and Equipment, Real Estate","","","3/9/2021",""
"472","464","Space and Astronomy","Science","2","Y","","NASA, space station, rocketship, stars, planets, sun, moon, earth","planet; rocket","","","","","3/9/2021",""
"475","473","Flower Shopping","Shopping","2","Y","","bouquets, vases, seeds","","","","","","3/9/2021",""
"477","473","Grocery Shopping","Shopping","2","Y","","grocery cart, grocery store, grocery aisle, checkout counter, cash register","food objects AND","AND retail_shopping","","logos for all relevant brands","","3/9/2021",""
