materialId,lastRunJob
GMO_00000000001808_01,FILE_MAF_20210727T235054Z_GMO_00000000001808_01
GMO_00000000001840_01,FILE_MAF_20210727T235555Z_GMO_00000000001840_01
GMO_00000000001809_01,FILE_MAF_20210727T235855Z_GMO_00000000001809_01
GMO_00000000001819_01,FILE_MAF_20210728T000557Z_GMO_00000000001819_01
GMO_00000000001870_01,FILE_MAF_20210728T000757Z_GMO_00000000001870_01
GMO_00000000001675_01,FILE_MAF_20210728T000858Z_GMO_00000000001675_01
GMO_00000000001822_01,FILE_MAF_20210728T000858Z_GMO_00000000001822_01
GMO_00000000001824_01,FILE_MAF_20210728T000858Z_GMO_00000000001824_01
GMO_00000000001941_01,FILE_MAF_20210728T000858Z_GMO_00000000001941_01
GMO_00000000001681_01,FILE_MAF_20210728T000859Z_GMO_00000000001681_01
GMO_00000000001684_01,FILE_MAF_20210728T001100Z_GMO_00000000001684_01
GMO_00000000001825_01,FILE_MAF_20210728T001100Z_GMO_00000000001825_01
GMO_00000000001765_01,FILE_MAF_20210728T001300Z_GMO_00000000001765_01
GMO_00000000001833_01,FILE_MAF_20210728T001300Z_GMO_00000000001833_01
GMO_00000000001812_01,FILE_MAF_20210728T001301Z_GMO_00000000001812_01
GMO_00000000001978_01,FILE_MAF_20220211T225426Z_GMO_00000000001978_01
GMO_00000000001859_01,FILE_MAF_20210728T001602Z_GMO_00000000001859_01
GMO_00000000001874_01,FILE_MAF_20210728T001702Z_GMO_00000000001874_01
GMO_00000000001937_01,FILE_MAF_20210728T001902Z_GMO_00000000001937_01
GMO_00000000002000_01,FILE_MAF_20220211T225424Z_GMO_00000000002000_01
GMO_00000000002009_01,FILE_MAF_20210730T132328Z_GMO_00000000002009_01
GMO_00000000002028_01,FILE_MAF_20210730T133044Z_GMO_00000000002028_01
GMO_00000000002036_01,FILE_MAF_20220211T225423Z_GMO_00000000002036_01
GMO_00000000002054_01,FILE_MAF_20220211T225423Z_GMO_00000000002054_01
GMO_00000000002062_01,FILE_MAF_20210730T172329Z_GMO_00000000002062_01
GMO_00000000002012_01,FILE_MAF_20210730T132937Z_GMO_00000000002012_01
GMO_00000000002071_01,FILE_MAF_20210730T171119Z_GMO_00000000002071_01
GMO_00000000002073_01,FILE_MAF_20210730T172330Z_GMO_00000000002073_01
GMO_00000000002265_01,FILE_MAF_20210730T202629Z_GMO_00000000002265_01
GMO_00000000002024_01,FILE_MAF_20220211T225427Z_GMO_00000000002024_01
GMO_00000000002100_01,FILE_MAF_20210730T172331Z_GMO_00000000002100_01
GMO_00000000002173_01,FILE_MAF_20220212T143305Z_GMO_00000000002173_01
GMO_00000000002033_01,FILE_MAF_20210730T171320Z_GMO_00000000002033_01
GMO_00000000002126_01,FILE_MAF_20220212T143300Z_GMO_00000000002126_01
GMO_00000000002152_01,FILE_MAF_20220212T143303Z_GMO_00000000002152_01
GMO_00000000002153_01,FILE_MAF_20220212T143259Z_GMO_00000000002153_01
GMO_00000000001991_01,FILE_MAF_20210730T132326Z_GMO_00000000001991_01
GMO_00000000002006_01,FILE_MAF_20220211T225421Z_GMO_00000000002006_01
GMO_00000000002017_01,FILE_MAF_20220211T225422Z_GMO_00000000002017_01
GMO_00000000002163_01,FILE_MAF_20220212T143259Z_GMO_00000000002163_01
GMO_00000000002181_01,FILE_MAF_20220212T143258Z_GMO_00000000002181_01
GMO_00000000002034_01,FILE_MAF_20210730T145200Z_GMO_00000000002034_01
GMO_00000000002114_01,FILE_MAF_20220211T225427Z_GMO_00000000002114_01
GMO_00000000002222_01,FILE_MAF_20210730T172333Z_GMO_00000000002222_01
GMO_00000000002068_01,FILE_MAF_20220211T225426Z_GMO_00000000002068_01
GMO_00000000002249_01,FILE_MAF_20210730T202628Z_GMO_00000000002249_01
GMO_00000000002165_01,FILE_MAF_20220212T143304Z_GMO_00000000002165_01
